Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,User_Score
The Bureau: XCOM Declassified,PC,2013,Shooter,Take-Two Interactive,0.0,0.05,0.0,0.0,0.05,66.0,6.5
Steins;Gate 0,PS4,2015,Adventure,PQube,0.0,0.0,0.05,0.0,0.05,81.0,8.3
Metroid Prime: Federation Force,3DS,2016,Action,Nintendo,0.02,0.01,0.01,0.0,0.05,64.0,5.1
Payday 2,PC,2013,Shooter,505 Games,0.04,0.0,0.0,0.01,0.05,79.0,3.4
Hatsune Miku: Project Diva X,PS4,2016,Misc,Sega,0.02,0.0,0.02,0.0,0.05,78.0,7.4
Grand Ages: Medieval,PC,2015,Strategy,Kalypso Media,0.0,0.05,0.0,0.0,0.05,63.0,5.4
Saints Row: Gat out of Hell,PS4,2015,Action,Deep Silver,0.0,0.04,0.0,0.01,0.05,64.0,5.7
Plants vs. Zombies: Garden Warfare 2,PC,2016,Shooter,Electronic Arts,0.0,0.04,0.0,0.0,0.05,82.0,7.5
NASCAR Heat Evolution,PS4,2016,Racing,Dusenberry Martin Racing,0.04,0.0,0.0,0.01,0.05,66.0,3.8
Child of Light,PS4,2014,Role-Playing,Ubisoft,0.0,0.01,0.04,0.0,0.05,82.0,8.0
DuckTales: Remastered,PS3,2013,Action,Capcom,0.01,0.03,0.0,0.01,0.05,75.0,7.4
Pro Evolution Soccer 2017,XOne,2016,Sports,Konami Digital Entertainment,0.01,0.03,0.0,0.0,0.05,87.0,6.1
XCOM 2,XOne,2016,Strategy,Take-Two Interactive,0.02,0.02,0.0,0.0,0.05,87.0,8.1
Yaiba: Ninja Gaiden Z,X360,2014,Action,Tecmo Koei,0.03,0.01,0.0,0.0,0.05,50.0,5.3
Ride 2,PS4,2016,Racing,Milestone S.r.l,0.0,0.04,0.0,0.01,0.05,71.0,8.0
Root Letter,PSV,2016,Adventure,PQube,0.0,0.03,0.01,0.01,0.05,78.0,7.8
Resident Evil 6,XOne,2016,Shooter,Capcom,0.04,0.0,0.0,0.0,0.05,63.0,6.3
Sébastien Loeb Rally Evo,PS4,2016,Racing,Milestone S.r.l,0.0,0.04,0.0,0.01,0.04,71.0,8.1
Life is Strange,PC,2016,Adventure,Square Enix,0.01,0.04,0.0,0.0,0.04,83.0,8.6
Battlezone,PS4,2016,Action,Rebellion Developments,0.02,0.02,0.0,0.01,0.04,66.0,7.0
Pro Evolution Soccer 2016,PC,2015,Sports,Konami Digital Entertainment,0.0,0.04,0.0,0.0,0.04,76.0,4.3
Teenage Mutant Ninja Turtles: Mutants in Manhattan,XOne,2016,Action,Activision,0.03,0.01,0.0,0.0,0.04,55.0,6.0
Enemy Front,X360,2014,Shooter,Namco Bandai Games,0.02,0.02,0.0,0.0,0.04,35.0,5.8
Shantae and the Pirate's Curse,3DS,2015,Platform,Rising Star Games,0.01,0.0,0.03,0.0,0.04,82.0,8.5
Nobunaga's Ambition: Sphere of Influence,PS4,2014,Strategy,Tecmo Koei,0.03,0.0,0.0,0.01,0.04,80.0,8.1
LEGO Friends,3DS,2013,Action,Warner Bros. Interactive Entertainment,0.0,0.04,0.0,0.0,0.04,43.0,8.3
