Feature,Importance
Year_of_Release,0.07191102055764131
Genre_Encoded,0.12611469105512563
Publisher_Encoded,0.14146412130905356
Platform_Encoded,0.14274273970479667
User_Score,0.19537564336638125
Critic_Score,0.32239178400700164
