antecedents,consequents,support,confidence,lift
Platform_PS4,"Genre_Shooter, Is_Hit",0.010256410256410256,0.040160642570281124,1.7024620220010476
"Score_Mid, Is_Hit",Platform_PS4,0.019487179487179488,0.4318181818181818,1.6908543263964952
Platform_PS4,"Score_Mid, Is_Hit",0.019487179487179488,0.07630522088353414,1.690854326396495
Genre_Sports,Platform_XOne,0.031794871794871796,0.2818181818181818,1.665289256198347
Platform_XOne,Genre_Sports,0.031794871794871796,0.18787878787878787,1.665289256198347
Genre_Shooter,Platform_X360,0.018461538461538463,0.13636363636363638,1.6414141414141417
Platform_X360,Genre_Shooter,0.018461538461538463,0.22222222222222224,1.6414141414141417
Score_Low,"Genre_Shooter, Platform_X360",0.010256410256410256,0.0303030303030303,1.6414141414141412
"Genre_Shooter, Platform_X360",Score_Low,0.010256410256410256,0.5555555555555555,1.641414141414141
"Platform_PS3, Genre_Role-Playing",Score_Low,0.012307692307692308,0.5217391304347826,1.541501976284585
Score_Low,"Platform_PS3, Genre_Role-Playing",0.012307692307692308,0.03636363636363636,1.5415019762845847
Platform_PC,"Score_Mid, Genre_Shooter",0.01641025641025641,0.1081081081081081,1.527614571092832
"Score_Mid, Genre_Shooter",Platform_PC,0.01641025641025641,0.2318840579710145,1.527614571092832
Score_High,Genre_Role-Playing,0.028717948717948718,0.1958041958041958,1.5151515151515151
Genre_Role-Playing,Score_High,0.028717948717948718,0.2222222222222222,1.5151515151515151
Platform_XOne,"Score_Mid, Genre_Sports",0.014358974358974359,0.08484848484848484,1.5041322314049586
"Score_Mid, Genre_Sports",Platform_XOne,0.014358974358974359,0.2545454545454545,1.5041322314049583
Platform_XOne,Is_Hit,0.018461538461538463,0.1090909090909091,1.4980793854033294
Is_Hit,Platform_XOne,0.018461538461538463,0.25352112676056343,1.4980793854033292
Genre_Role-Playing,Platform_PS3,0.02358974358974359,0.18253968253968256,1.4831349206349207
Platform_PS3,Genre_Role-Playing,0.02358974358974359,0.19166666666666665,1.4831349206349205
Genre_Sports,Platform_PS4,0.04205128205128205,0.37272727272727274,1.45947426067908
Platform_PS4,Genre_Sports,0.04205128205128205,0.1646586345381526,1.4594742606790798
Score_High,Platform_PC,0.031794871794871796,0.2167832167832168,1.4281326781326782
Platform_PC,Score_High,0.031794871794871796,0.20945945945945946,1.4281326781326782
"Score_Mid, Platform_XOne",Genre_Sports,0.014358974358974359,0.16091954022988506,1.426332288401254
Genre_Sports,"Score_Mid, Platform_XOne",0.014358974358974359,0.12727272727272726,1.426332288401254
"Score_Mid, Platform_PC",Genre_Shooter,0.01641025641025641,0.1904761904761905,1.4069264069264071
Genre_Shooter,"Score_Mid, Platform_PC",0.01641025641025641,0.12121212121212122,1.406926406926407
Score_Mid,"Is_Hit, Platform_XOne",0.013333333333333334,0.025896414342629483,1.4027224435590968
"Is_Hit, Platform_XOne",Score_Mid,0.013333333333333334,0.7222222222222222,1.4027224435590968
Platform_XOne,Genre_Racing,0.014358974358974359,0.08484848484848484,1.4021571648690292
Genre_Racing,Platform_XOne,0.014358974358974359,0.23728813559322035,1.4021571648690292
Platform_PC,Genre_Shooter,0.028717948717948718,0.18918918918918917,1.3974201474201473
Genre_Shooter,Platform_PC,0.028717948717948718,0.21212121212121213,1.3974201474201473
Platform_XOne,Genre_Shooter,0.031794871794871796,0.18787878787878787,1.387741046831956
Genre_Shooter,Platform_XOne,0.031794871794871796,0.23484848484848486,1.387741046831956
Score_Mid,"Is_Hit, Genre_Sports",0.010256410256410256,0.0199203187250996,1.3873079112122937
"Is_Hit, Genre_Sports",Score_Mid,0.010256410256410256,0.7142857142857143,1.3873079112122937
Score_High,Genre_Sports,0.022564102564102566,0.15384615384615385,1.3636363636363638
Genre_Sports,Score_High,0.022564102564102566,0.2,1.3636363636363638
Score_Mid,"Genre_Shooter, Is_Hit",0.01641025641025641,0.03187250996015936,1.3511172700502339
"Genre_Shooter, Is_Hit",Score_Mid,0.01641025641025641,0.6956521739130435,1.3511172700502336
Genre_Racing,Platform_PC,0.012307692307692308,0.2033898305084746,1.3398992212551535
Platform_PC,Genre_Racing,0.012307692307692308,0.08108108108108107,1.3398992212551533
Score_Mid,"Genre_Shooter, Platform_XOne",0.021538461538461538,0.04183266932270916,1.3157049222464978
"Genre_Shooter, Platform_XOne",Score_Mid,0.021538461538461538,0.6774193548387096,1.3157049222464976
Platform_XOne,Score_High,0.031794871794871796,0.18787878787878787,1.28099173553719
Score_High,Platform_XOne,0.031794871794871796,0.2167832167832168,1.28099173553719
"Platform_PS4, Genre_Role-Playing",Score_Low,0.010256410256410256,0.4166666666666667,1.231060606060606
Score_Low,"Platform_PS4, Genre_Role-Playing",0.010256410256410256,0.0303030303030303,1.231060606060606
Score_Mid,"Genre_Action, Platform_PC",0.024615384615384615,0.04780876494023904,1.2266722583350806
"Genre_Action, Platform_PC",Score_Mid,0.024615384615384615,0.631578947368421,1.2266722583350806
"Is_Hit, Platform_PS4",Genre_Action,0.012307692307692308,0.3870967741935484,1.2214218603194489
Genre_Action,"Is_Hit, Platform_PS4",0.012307692307692308,0.03883495145631068,1.2214218603194489
"Score_Mid, Platform_PS4",Genre_Action,0.052307692307692305,0.38636363636363635,1.219108561341571
Genre_Action,"Score_Mid, Platform_PS4",0.052307692307692305,0.16504854368932037,1.2191085613415709
"Score_Mid, Platform_X360",Genre_Action,0.015384615384615385,0.38461538461538464,1.2135922330097089
Genre_Action,"Score_Mid, Platform_X360",0.015384615384615385,0.048543689320388356,1.2135922330097089
Platform_PS4,"Score_Mid, Genre_Sports",0.017435897435897435,0.06827309236947791,1.2102957283680176
"Score_Mid, Genre_Sports",Platform_PS4,0.017435897435897435,0.3090909090909091,1.2102957283680176
Genre_Action,"Score_Low, Platform_XOne",0.018461538461538463,0.05825242718446603,1.2084280107415826
"Score_Low, Platform_XOne",Genre_Action,0.018461538461538463,0.3829787234042554,1.2084280107415826
Score_Low,Platform_X360,0.033846153846153845,0.09999999999999999,1.2037037037037037
Platform_X360,Score_Low,0.033846153846153845,0.4074074074074074,1.2037037037037035
Is_Hit,Score_Mid,0.04512820512820513,0.619718309859155,1.2036361595870042
Score_Mid,Is_Hit,0.04512820512820513,0.08764940239043825,1.2036361595870042
Score_Mid,"Is_Hit, Platform_PS4",0.019487179487179488,0.037848605577689244,1.1903996915563553
"Is_Hit, Platform_PS4",Score_Mid,0.019487179487179488,0.6129032258064516,1.190399691556355
Score_Mid,"Genre_Action, Platform_PS4",0.052307692307692305,0.10159362549800796,1.1792117245304496
"Genre_Action, Platform_PS4",Score_Mid,0.052307692307692305,0.6071428571428571,1.1792117245304494
"Score_Mid, Genre_Action",Platform_PS4,0.052307692307692305,0.3,1.1746987951807228
Platform_PS4,"Score_Mid, Genre_Action",0.052307692307692305,0.20481927710843373,1.1746987951807228
Score_Low,Platform_PS3,0.048205128205128206,0.14242424242424243,1.1571969696969697
Platform_PS3,Score_Low,0.048205128205128206,0.39166666666666666,1.1571969696969697
Score_Low,"Platform_PS4, Genre_Sports",0.01641025641025641,0.048484848484848485,1.1529933481152994
"Platform_PS4, Genre_Sports",Score_Low,0.01641025641025641,0.3902439024390244,1.1529933481152994
"Score_Mid, Platform_PS4",Genre_Sports,0.017435897435897435,0.12878787878787878,1.1415289256198347
Genre_Sports,"Score_Mid, Platform_PS4",0.017435897435897435,0.15454545454545454,1.1415289256198347
Score_Low,Genre_Role-Playing,0.04923076923076923,0.14545454545454545,1.1255411255411254
Genre_Role-Playing,Score_Low,0.04923076923076923,0.38095238095238093,1.1255411255411254
"Platform_PS3, Genre_Action",Score_Mid,0.020512820512820513,0.5714285714285715,1.109846328969835
Score_Mid,"Platform_PS3, Genre_Action",0.020512820512820513,0.0398406374501992,1.109846328969835
Score_Mid,"Genre_Action, Is_Hit",0.012307692307692308,0.02390438247011952,1.109846328969835
"Genre_Action, Is_Hit",Score_Mid,0.012307692307692308,0.5714285714285714,1.1098463289698348
